rerid,speaker,intent,text
1,Teacher,100,would like student said scientist found crater full water moon 
1,Teacher,100,student student answer correct need microscope order things very very small smaller what student human eyes 
1,Teacher,100,that's good that's correct student 
1,Teacher,100,student that's correct wouldn't need order protect while they're outer space moon 
1,Teacher,100,student both correct what machine y needed locate find able article from moon 
1,Teacher,100,student they're necessarily wrong 
1,Teacher,100,really good answer student really good answers 
1,Teacher,100,student there's nothing wrong student answer 
1,Teacher,100,student there could 
1,Teacher,100,student small machine correct 
1,Teacher,100,student small machine collect water moon 
1,Teacher,100,student answer said think scientific tool called microscope look really closely right student 
1,Teacher,100,student correct microscope 
1,Teacher,100,student ma'am keep student answer same 
1,Teacher,100,good good right student question 
1,Teacher,100,student well that's correct certain equipment moon 
1,Teacher,100,student okay 's answer about moon okay astronaut things around oxygen order moon correct 
1,Teacher,100,thank student absolutely none wrong correct extent thank being here lunch 
1,Teacher,100,student student exactly right also says second paragraph could breathe oxygen suits oxygen tanks when they're moon when they're space 
1,Teacher,100,student yeah student exactly right here thank added comment 
1,Teacher,100,student correct 
1,Teacher,100,student scientists part 
1,Teacher,100,student microscope used there other some other equipment also used probably just piece equipment 
1,Teacher,100,student maybestudent answer correct 
1,Teacher,100,student okay thank that's great thing circle 
2,Teacher,100,student right saying student student answer wrong 
2,Teacher,100,student garden okay 
2,Teacher,100,student rightly said machine 
2,Teacher,100,student small machine that's right 
2,Teacher,100,student student answer wasn't wrong question 
2,Teacher,100,student wrong student still correct will need microscope want water 
2,Teacher,100,student would awesome very good thinking 
2,Teacher,100,student correct 
2,Teacher,100,student one's answer wrong 
2,Teacher,100,very good student student answer needs little further 
2,Teacher,100,student well wrong 
2,Teacher,100,student think maybe long r search future could possibility 
2,Teacher,100,student okay student right equipment part question 
2,Teacher,100,student water other things like garden like said 
2,Teacher,100,guys right there 
2,Teacher,100,student yeah no ice pointed oxygen tanks really cool answer gave there more information always learn didn't know before know name orbiter 
2,Teacher,100,student well definitely helped because know space there's oxygen tanks help breathe equipment 
2,Teacher,100,student well right 
2,Teacher,100,student because send small machine called think probe something 
2,Teacher,100,student could then guess would would good investment because would could grow things side planet 
2,Teacher,100,student mean he's wrong 
2,Teacher,100,perfect excellent okay student 
2,Teacher,100,student okay several types equipment okay thank 
2,Teacher,100,student exactly 
2,Teacher,100,student okay sorry believe student answer wrong student everybody's answer 
2,Teacher,100,student student answer very right microscope 
2,Teacher,100,figure answers student need scientific tool called microscope look really closely correct miss student need microscope look very closely 
2,Teacher,100,equipment student correct things before start explorations right student 
2,Teacher,100,getting little topic here student said astronaut oxygen tanks space shuttles types equipment student right about 
2,Teacher,100,would would really useful student what about 
2,Teacher,100,student right will take time money might worked student 
2,Teacher,100,student think well water because looking what what equipment used find water there other important word 
2,Teacher,100,student didn't student answer isn't wrong just wanting find kind even more about nasa sent small machine correct 
2,Teacher,100,good that's right that's right sorry missed student student answer student sent mall machine that's very good student exactly right that's tool looking 
2,Teacher,100,student correct 
2,Teacher,100,student using microscope find water just look water found 
2,Teacher,100,microscope everybody where student found paragraph three 
2,Teacher,100,good everybody hear while student reading 
2,Teacher,100,wonderful answer anyone else want answer 
2,Teacher,100,student student answer correct because microscope tool equipment very broad when comes machine tool what refer 
2,Teacher,100,student yeah student answer wouldn't wrong 
1,Teacher,100,student cute yeah don't think wrong 
1,Teacher,100,student answer wrong student 
1,Teacher,100,student small machine well don't think student wrong 
1,Teacher,100,student student answer incorrect 
1,Teacher,100,student right what could also include scientist tool called microscope discover water moon 
1,Teacher,100,student student answer correct 
1,Teacher,100,correct equipment student both correct oxygen tanks that's specifically what hadn't used find water crater 
1,Teacher,100,student going student response wrong means okay 
1,Teacher,100,student maybe student answer right answer nasa send small machine look what written actually look number there 
1,Teacher,100,student didn't student answer wrong 
1,Teacher,100,student said small machine lunar orbiter type machine student answer right 
1,Teacher,100,student student answers wrong 
1,Teacher,100,right different types equipment scientist guys right oxygen tanks space suits equipment equipment help discover water 
1,Teacher,100,student really good stating scientist found crater full water moon 
1,Teacher,100,student could something drink could something could stay clean good 
1,Teacher,100,student student right great understanding what water even valuable moon 
1,Teacher,100,yeah drink bake great guys thank 
1,Teacher,100,student great answer 
1,Teacher,100,student mean small machine student student still correct 
1,Teacher,100,student well would definitely know really come handy know scientist astrologers might perhaps moon 
1,Teacher,100,student would definitely know perhaps provide sort know sort some greenhouses might able construct moon perhaps scientist could even perhaps grow vegetables something grow moon 
1,Teacher,100,just likebrought about space he's looking into knows just about equipment about space student 
1,Teacher,100,student when looked over student answer there some great points brought about wasn't wasn't wrong what 
1,Teacher,100,great that's good connection loved student response about word used word hydrate hydrate student said 
1,Teacher,100,student like response because that's something student proving whenever asked about garden what makes think could student telling 
1,Teacher,100,student thought great idea look glad looked detail about hearing shoes because heavy 
1,Teacher,100,student great there's dealing article because that's like equipment right like read about equipment passage 
1,Teacher,100,student okay good response 
1,Teacher,100,okay know what student sounds like good point maybe there there's probably more just thing used find water 
1,Teacher,100,student gave really good answers 
1,Teacher,100,student student student answer wrong paragraph three talks about water found microscopic meaning wouldn't able think that's where thinking would need tool walk microscope types things moon help understand more 
1,Teacher,100,student nothing's wrong student paragraph 
1,Teacher,100,student pretty good definitely lunar orbiter 
1,Teacher,100,student that's absolutely true 
1,Teacher,100,student right student answer seems pretty solid 
1,Teacher,100,student student answer's don't think student answer incorrect student answer's student answer correct 
1,Teacher,100,yeah that's great point student would oxygen tanks stuff actually explore moon yeah would need equipment 
1,Teacher,100,student student answer necessarily wrong 
1,Teacher,100,student student student answers necessarily wrong 
1,Teacher,100,student that's definitely true scientist find crater full water moon 
1,Teacher,100,student okay glad student no ice 
1,Teacher,100,student went right into said scientist want crater some water moon true 
1,Teacher,100,think guys 
1,Teacher,100,exactly right equipment tool guys correct stating both things microscope 
1,Teacher,100,student small machine both equipment tool 
1,Teacher,100,student absolutely correct appreciate sharing fact article today discusses importance oxygen 
1,Teacher,100,student student answer drink water stay hydrated very good answer mentioned here text 
1,Teacher,100,student extremely extremely close 
1,Teacher,100,student saying saying wrong didn't machine y think whenever talked about question find student actually went wrong 
1,Teacher,100,student weren't wrong after 
1,Teacher,100,student wrong 
1,Teacher,100,very good like student said equipment like oxygen tanks moon able survive moon 
1,Teacher,100,student didn't wrong student answer isn't wrong 
1,Teacher,100,okay well going second rightwrong just going there different answer okay right student share what underline paragraph 
1,Teacher,100,student said needed tool called microscope look really closely true 
1,Teacher,100,student exactly exactly need special tool called microscope little microscopic whatever ends being case microscopic amounts water 
1,Teacher,100,student essence kind both correct 
1,Teacher,100,student reality sure teacher would count wrong included every 
1,Teacher,100,student know lunar order microscope just about anything don't think counted wrong because technically correct 
1,Teacher,100,student every little moon find water technically correct 
1,Teacher,100,student yeah would based text here they've used different equipment discover there water moon 
1,Teacher,100,good student exactly right look paragraph three will fact says need microscope 
1,Teacher,100,student fact microscope part answers right microscope 
1,Teacher,100,will student student answer right 
1,Teacher,100,student suppose large polar crater right okay student answer correct equipment there deposit 
1,Teacher,100,student okay test hear about might need microscope view water molecules right 
1,Teacher,100,student student answer wrong 
1,Teacher,100,okay could water student 
1,Teacher,100,student love found microscope used find water 
1,Teacher,100,student wrong 
1,Teacher,100,student said 100% correct said nasa send small machine 
1,Teacher,100,student everybody's answer correct 
1,Teacher,100,student don't think student answer necessarily wrong small machine 
1,Teacher,100,guys gave answers very valid 
1,Teacher,100,student yeah good answer 
1,Teacher,100,student yeah that's very well eloped answer 
1,Teacher,100,student long gathered information about values then student answer correct whether think 
1,Teacher,100,just going student just want start really enjoy student answer really picked from text 
1,Teacher,100,student really picked object which microscope basically kind described what used outside text using language really appreciate 
1,Teacher,100,student yeah student answer right scientist find crater full water moon student right 
1,Teacher,100,student that's awesome student then help figure couple questions 
1,Teacher,100,glad group kind help follow prompt question answering glad student here right 
1,Teacher,100,student nailed absolutely much equipment science nasa play like lasers jealous thumbs 
1,Teacher,100,love know much prior knowledge about space yeah appreciate know think you'll bring whatever group student 
1,Teacher,100,student glad glad hear think will contribute student knowledge 
1,Teacher,100,student yeah happy hear already 
1,Teacher,100,facilities museums think student probably talk about feed both share interest space thank sharing 
1,Teacher,100,good well means help think student background knowledge going very helpful group student 
1,Teacher,100,student well really glad feel like good understanding space just just talk really about answer real quick excited hear what share though whenever student turn 
1,Teacher,100,glad student really excited learn about space student 
1,Teacher,100,student well completely understand tell from student answer know things about space because talked about oxygen tanks tell know about space just want help drill specific answer question okay 
1,Teacher,100,student well would awesome didn't know taught something 
1,Teacher,100,don't think should group well glad student group because maybe help some questions answered glad student here 
1,Teacher,100,really like fact knowledge about because tells student probably really interested space student help understand 
1,Teacher,100,student well know what because know means help rest don't know much 
1,Teacher,100,student well will really help knowing some things because might able teach some things don't know 
1,Teacher,100,student even that's ice thing about because know different information where know little more maybe teach some things along okay 
1,Teacher,100,student know about space 
1,Teacher,100,such awesome information proud look information student free time can't wait share information rest student when back 
1,Teacher,100,student right love know there's oxygen tanks ice thumbs that's awesome love know about oxygen 
1,Teacher,100,sure student could probably tell more share information together 
1,Teacher,100,student then you'll able help explore little more about what what we've read about 
1,Teacher,100,student know know about space know really help here 
1,Teacher,100,student that's awesome love know because very very helpful necessary astronaut there 
1,Teacher,100,student that's wonderful well maybe you'll able help answer question little differently think could student listening ears maybe help answer question better sound okay 
1,Teacher,100,student wonderful what experience 
1,Teacher,100,student yeah that's great that's great connection neat student nasa before love 
1,Teacher,100,well student that's exactly need here need here help help 
1,Teacher,100,awesomewell thanks much joining really need group today since know about space okay thank 
1,Teacher,100,student science expert 
1,Teacher,100,okay maybe there something don't know would like learn will grateful after student learn thing 
1,Teacher,100,student there 
1,Teacher,100,really cool maybe should tell about another student about everything there 
1,Teacher,100,student seems really awesome 
1,Teacher,100,student student astronaut that's know about space 
1,Teacher,100,that's good maybe today another student share something learned from student 
1,Teacher,100,maybe share something know student 
1,Teacher,100,good well even happy hear sound confident student knowledge there here good knowledge share being group doesn't mean don't necessarily know about maybe student going helping student classmates learn about 
1,Teacher,100,student that's very exciting sounds like some first hand experience really glad little circle here because that's great getting some more perspective like 
1,Teacher,100,that's incredibly exciting would hope that's case water here could help future exploration glad guys listening topic trying expand knowledge know student visit nasa very excited 
1,Teacher,100,that's awesome help other kids about once just chill minute 
1,Teacher,100,okay awesome what student background knowledge which going help answer question because background knowledge already understand topic that's great 
1,Teacher,100,awesome student used background knowledge able infer based information coming from passage scientist need lots equipment that's awesome
1,Teacher,100,awesome student student also able reference student background knowledge help deeper into passage 
1,Teacher,100,awesome student able background knowledge know infer from everything tells passage here nasa scientist using equipment agree 
1,Teacher,100,what know about space know help rest group what know 
1,Teacher,100,okay mister student that's good point glad know about space 
1,Teacher,100,student that's okay maybe help help someone else later wait okay 
1,Teacher,100,student well wonderful glad know about space maybe friends don't maybe help teach some things about space 
1,Teacher,100,student would good thing 
1,Teacher,100,well wonderfulstill learning more information about space going teach friends hopefully during group anybody else questions maybe help help 
1,Teacher,100,student very good like connected student experience going nasa help understand reading text better that's great experience really cool 
1,Teacher,100,student thanks sharing student astronaut sure know there's always more learn reading finding more details text always learn more 
1,Teacher,100,student that's really cool student astronaut about that's that's talk about 
1,Teacher,100,student great good question 
1,Teacher,100,that's good still remain group help others know about okay 
1,Teacher,100,student yeah there's always learn more right mean learn from each other going okay 
1,Teacher,100,student that's where find student answer okay always remember experience 
1,Teacher,100,wellglad part group maybe share some student 
1,Teacher,100,student knowledge help expand learning space 
1,Teacher,100,student okay some prior knowledge space travel right 
1,Teacher,100,student that's really cool what learned there they're very scientific studies 
1,Teacher,100,student well maybe help others 
1,Teacher,100,ties because sometimes personal experience helps understand what readingwhen reading student seen things nasa helps visualize know more about that's great thing share student anyone else experience similar 
1,Teacher,100,student good sometimes already know something think always learn more about maybe could student classmates maybe don't know need student help 
1,Teacher,100,student well maybe benefit others listening offering some suggestions 
1,Teacher,100,student okay would great thanks helping 
1,Teacher,100,student maybe could help 
1,Teacher,100,well just like last time something contribute group going hang tight maybe contribute some more what think 
1,Teacher,100,student you'll able share student knowledge 
1,Teacher,100,student good every time learn something continue growing learning going listen friends okay thank student input glad know about space learn from right 
1,Teacher,100,student very good background information know know about space 
1,Teacher,100,student okay going student 
1,Teacher,100,student background knowledge okay we've talked about background knowledge help 
1,Teacher,100,student more information about what learning okay 
1,Teacher,100,student well think don't know exactly everything quite always learn more some student knowledge from what know about space help 
1,Teacher,100,student really 
1,Teacher,100,rightthat's sort what student said right that's great student using student background knowledge awesome 
1,Teacher,100,well help teach others really need still group help help understand little better 
1,Teacher,100,great was-- i've seen some equipment that's very neat thank much student 
1,Teacher,100,student that's okay well always learn things about topics help know help learn more about 
1,Teacher,100,well really need stay group help like information things okay 
1,Teacher,100,student help helper 
1,Teacher,100,student would neat when that's only four years away 
1,Teacher,100,student awesome know extra stuff just trying learn about water know much more student going some equipment student 
1,Teacher,100,student well know liked student response scientist equipment like oxygen tanks 
1,Teacher,100,student okay well maybe help help other students understanding space pull from details from text just reaffirm student knowledge what student prior knowledge 
1,Teacher,100,student okay alright well glad know information 
1,Teacher,100,student there's things need whenever into space that's very fascinating able visit nasa 
1,Teacher,100,student that's great cultural experience gives little insight into some prior knowledge move forward student science classes 
1,Teacher,100,student astronauts scientist kinds equipment certain materials wear when into space because such unknown area want safe possible 
1,Teacher,100,student when things nasa able some space suits some tool equipment 
1,Teacher,100,student right super jealous nasa 
1,Teacher,100,maybe help student partner'sthink would great add tion group 
1,Teacher,100,student well that's really great that's that's awesome know about space maybe conversation 
1,Teacher,100,student like said scientist oxygen space survive 
1,Teacher,100,student glad know stuff about oxygen tanks things like will help 
1,Teacher,100,well maybe help some understand things better being group then 
1,Teacher,100,student that's awesome always good when background knowledge pull 
1,Teacher,100,student that's great know stuff what like help other students learn more would like 
1,Teacher,100,student help some other students we'll student contribution help help other students well 
1,Teacher,100,student know about some equipment nasa uses 
1,Teacher,100,right student you'll able share some information maybe learn from student friends okay 
1,Teacher,100,student right student said same thing rightwhat something said scientist 
1,Teacher,100,student okay well glad know about space 
1,Teacher,100,student think both great using student outside resource different things student experienced student life related think that's awesome wrong 
1,Teacher,100,student maybe even help others learn more about science sort explore strengths within type knowledge 
1,Teacher,100,student well that's that's that's really cool know sort idea sort special inroads know student know first hand knowledge some might actually come know sort handy help somebody goes kind understand material 
1,Teacher,100,student glad know about space because need knowledge help especially questions today glad brought about space because that's here today 
1,Teacher,100,okay student brought about space glad that's good point 
1,Teacher,100,different some things different school right learning differently guys done great looking more into because some student knowledge student read about nasa help things like help partners alright back question 
1,Teacher,100,student that's awesome information because know what help today about learning about importance 
1,Teacher,100,thank student because know make some great connections about student because know shared information about things done work 
1,Teacher,100,student could confirm about probably told right
1,Teacher,100,that's great student know what gave great idea want each little piece paper 
1,Teacher,100,student okay some some good found tion space when cover more about space seems like you'll able help some student classmates right 
1,Teacher,100,okay maybe maybe forward maybe i'll group leaders okay 
1,Teacher,100,think means probably could share rest group about some student experience nasa maybe could talk about here little could tell some more interesting facts 
1,Teacher,100,okay maybe student could leaders when comes some little more knowledge about space okay 
1,Teacher,100,think know know about space don't think would make even better group help rest maybe could learn from each other 
1,Teacher,100,student know much about space maybe share some student classmates 
1,Teacher,100,student obviously shows student understanding space that's really cool 
1,Teacher,100,student i've never nasa that's really cool experience 
1,Teacher,100,student okay read aloud right read because know everything about space already 
1,Teacher,100,student love wish could nasa very away 
1,Teacher,100,student think that's really cool love experience about space know there's different types equipment work together 
1,Teacher,100,student know could tell student answer really enjoy space know oxygen tanks space explore there 
1,Teacher,100,student yeah lunar orbiter like talking about that's super cool 
1,Teacher,100,would like student knowledge already know share other students group okay 
1,Teacher,100,student response know quite maybe actually help teach other students here 
1,Teacher,100,student think think student help learn some stuff 
1,Teacher,100,well thank letting know student 
1,Teacher,100,student hopefully kevin unless tell little about experience there well 
1,Teacher,100,student student very enthusiastic about space enjoy 
1,Teacher,100,student well definitely think would help stuck around maybe help encourage student classmates learn little more even learn little more student self 
1,Teacher,100,student maybe understand everything help some student classmates 
1,Teacher,100,student like said think planning building base moon 
1,Teacher,100,student that's referencing text believe right about 
1,Teacher,100,whoo that's fabulous maybe help understand even more about space stay group might able help 
1,Teacher,100,student maybe help some other students because some students might first time learning about space 
1,Teacher,100,student could actually help next question 
1,Teacher,100,needs things student being astronaut okay we'll start over here student 
1,Teacher,100,student well awesome glad know about space maybe should share some other things student friends today while talking okay 
1,Teacher,100,student that's pretty soon that's very away 
1,Teacher,100,student classmates said don't know student background knowledge really help 
1,Teacher,100,student okay thank using student outside knowledge contribute conversation 
1,Teacher,100,thank thank student answer thank explaining case anyone didn't know 
1,Teacher,100,worries even though know guys know lots about spaceknow more about space everyone else group 
1,Teacher,100,awesome well that's really cool fact guys know much about space already means definitely some good background knowledge connect 
1,Teacher,100,student would need moon know said know about space very good response 
1,Teacher,100,yeah definitely equipment great answeralso just want make sure similarknow guys lots knowledge about space 
1,Teacher,100,student yeah that's awesome glad background knowledge what astronaut 
1,Teacher,100,student yeah really cool that's good example some background knowledge about topic 
1,Teacher,100,yeah that's really cool experience everyone definitely haven't really cool thing share student 
1,Teacher,100,ice student 
1,Teacher,100,student absolutely good think outside text 
1,Teacher,100,right awesome student like didn't 
1,Teacher,100,student text there's other equipment scientist used 
1,Teacher,100,student thought about using student knowledge nasa 
1,Teacher,100,student that's super cool wish wish went nasa maybe might there soon awesome yeah 
1,Teacher,100,student because we'd love here student expertise could help well okay okay we'll start 
1,Teacher,100,student know about space think student answer good know 
1,Teacher,100,student some final word like oxygen know what oxygen tank know equipment 
1,Teacher,100,student already some background knowledge 
1,Teacher,100,student know about what scientist space what actually 
1,Teacher,100,guys some background knowledge really good like what guys came 
1,Teacher,100,that's really cool student want thank sharing student personal experience really helps build what learning 
1,Teacher,100,student also great answer scientist things like said know about space student seen things 
1,Teacher,100,also continue readings outside student learn little more like said know about space more continue reading about more learn about okay 
1,Teacher,100,student that's really good connection note news student hearing outside text yeah equipment will definitely help there thank adding 
1,Teacher,100,student yeah that's great background knowledge bring table 
1,Teacher,100,student that's awesome that's great really good knowledge about nasa which come handy future 
1,Teacher,100,student looking something find good point thank sharing 
1,Teacher,100,student then probably could teach something about space 
1,Teacher,100,student okay well told going teach something about space didn't know there nice 
1,Teacher,100,student that's really cool appreciate telling teaching rest students fact that's really cool fact 
1,Teacher,100,student probably know about space 
1,Teacher,100,that's really good know things student really good things know really interesting 
1,Teacher,100,student yeah that's awesome hopefully bring some knowledge into today's lesson excited about 
1,Teacher,100,student know know about space sure know about space 
1,Teacher,100,student well that's awesome help rest student friends learn about space think should stay 
1,Teacher,100,student okay glad know much about already think should stay help assignment student classmates sound okay 
1,Teacher,100,student well glad already know much about space think could stay help answer questions student other classmates 
1,Teacher,100,student describe student intro which awesome because could tell know much about scientist space 
1,Teacher,100,right seems like everyone group background information about space which great probably when reading article connected which really great when looked text said 
1,Teacher,100,right love some background information student that's great 
1,Teacher,100,student great background knowledge though 
1,Teacher,100,student right actually like second question great know background knowledge 
1,Teacher,100,student maybe tell share what know also know about what think 
1,Teacher,100,student that's good thank saying exact names well that's exactly what looking because student nasa know about haven't love hearing what student experienced yeah 
1,Teacher,100,well then know questions might know answers questions some might need help some classmates might need help think student going pretty vital part group 
1,Teacher,100,student that's really cool thank sharing maybe when bigger writing assignment about unit include some details already learned from other places like maybe 's read other book about space student nasa that's really cool love chance share maybe during show-and-tell 
1,Teacher,100,student that's sometimes need know little deeper maybe just help other classmates understand just what talking about maybe minds going little 
1,Teacher,100,student student really great resource don't hang tight 
1,Teacher,100,glad know about space think staying group would really benefit other classmates because maybe could share some information already know about space sounds good 
1,Teacher,100,student yeah that's hopes right scientist works really hard 
1,Teacher,100,student know what since know much about space when talk student partners tell little more what know need 
1,Teacher,100,well honestly think could great resource student group members could help maybe like come answers maybe tell what think 
1,Teacher,100,student that's cool yeah 
1,Teacher,100,student well love bringing student background knowledge saying student nasa before that's really cool 
1,Teacher,100,student okay going work really great know about space that's going really helpful answer questions 
1,Teacher,100,student would really cool maybe would some stuff reading about actually taking place knowledge about because read about 
1,Teacher,100,student student right different equipment 
1,Teacher,100,student really enjoyed like student background knowledge help support because like said know about space 
1,Teacher,100,think student being here student friends student classmates resource questions future about readings assignments because seems like really understand understand assignment 
1,Teacher,100,student yeah think student right like because went nasa student able student background knowledge student able build what already know 
1,Teacher,100,student that's really really cool that's really interesting wonder will happen maybe won't 
1,Teacher,100,student well glad know about space already because know background knowledge very important maybe there's things could share know other students might know 
1,Teacher,100,student could help understand better 
1,Teacher,100,student yeah great glad brought student background knowledge 
1,Teacher,100,that's very good like information student head feel like well don't know about rest student maybe would better better answer 
1,Teacher,100,student yeah mean that's great that's great background knowledge really appreciate adding conversation think that's really really important 
1,Teacher,100,student bring background knowledge already knew 
1,Teacher,100,think good share student answers rest student because maybe someone might know well 
1,Teacher,100,student maybe help help students figure really dive into text 
1,Teacher,100,student mean obviously need oxygen survive that's very good observation 
1,Teacher,100,student that's awesome space cool glad passion student 
1,Teacher,100,student that's really great that's what would call background knowledge that's stuff know before even reading article that's really awesome 
1,Teacher,100,know about space student 
1,Teacher,100,that's very cool student 
1,Teacher,100,student right really thinking outside student just reading article just using what article given student thinking outside thinking about other equipment might yeah 
1,Teacher,100,student well that's great know help learn even more things about space then maybe might even learn something never know thank sharing though 
1,Teacher,100,student that's awesome know about space definitely help different things even known discussed article 
1,Teacher,100,student know about space 
1,Teacher,100,student sure hope you'll able some knowledge know talk about exciting discover finding water moon 
1,Teacher,100,student certainly help even student background knowledge 
1,Teacher,100,student tell background information space based student answer 
1,Teacher,100,that's really awesome student hope after today's discussion home talk about some ideas come discussion about water moon 
1,Teacher,100,well glad interest space glad know what maybe contribute little student knowledge rest group might find some there 
1,Teacher,100,student good will glad student able think about another experience helps relate text 
1,Teacher,100,student glad passionate about subject that's going help 
1,Teacher,100,student student totally right know much student brain about space 
1,Teacher,100,student definitely knowledge subject 
1,Teacher,100,student think background knowledge inside student brain going huge help 
1,Teacher,100,student sounds like know about equipment nasa uses 
1,Teacher,100,student yeah that's great maybe help student other classmates questions 
1,Teacher,100,student okay 
1,Teacher,100,great look like student expert group maybe help student classmates clarify some background knowledge okay 
1,Teacher,100,great know about space expert group help classmates clarify misunderstanding things want know okay 
1,Teacher,100,student teacher right don't disagree learn from youtube boats scientist astronaut rockets 
1,Teacher,100,student teacher right that's really cool student nasa background knowledge 
1,Teacher,100,that's right that's really interesting information student 
1,Teacher,100,student know sure know background information since student read many book sure movies shows 
1,Teacher,100,student awesome well then help talking about space since ready ready 
1,Teacher,100,student right that's cool extra information 
1,Teacher,100,that's cool student until then might able help telling what lunar orbiter look what look water 
1,Teacher,100,student great student right know many different pieces equipment nasa uses 
1,Teacher,100,student well good then help maybe other friends understand some more about water moon like text read going quick question 
1,Teacher,100,student that's awesome student then help figure couple questions 
1,Teacher,100,glad group kind help follow prompt question answering glad student here right 
1,Teacher,100,student nailed absolutely much equipment science nasa play like lasers jealous thumbs 
1,Teacher,100,love know much prior knowledge about space yeah appreciate know think you'll bring whatever group student 
1,Teacher,100,student glad glad hear think will contribute student knowledge 
1,Teacher,100,student yeah happy hear already 
1,Teacher,100,facilities museums think student probably talk about feed both share interest space thank sharing 
1,Teacher,100,good well means help think student background knowledge going very helpful group student 
1,Teacher,100,student well really glad feel like good understanding space just just talk really about answer real quick excited hear what share though whenever student turn 
1,Teacher,100,glad student really excited learn about space student 
1,Teacher,100,student well completely understand tell from student answer know things about space because talked about oxygen tanks tell know about space just want help drill specific answer question okay 
1,Teacher,100,student well would awesome didn't know taught something 
1,Teacher,100,don't think should group well glad student group because maybe help some questions answered glad student here 
1,Teacher,100,really like fact knowledge about because tells student probably really interested space student help understand 
1,Teacher,100,student well know what because know means help rest don't know much 
1,Teacher,100,student well will really help knowing some things because might able teach some things don't know 
1,Teacher,100,student even that's ice thing about because know different information where know little more maybe teach some things along okay 
1,Teacher,100,student know about space 
1,Teacher,100,such awesome information proud look information student free time can't wait share information rest student when back 
1,Teacher,100,student right love know there's oxygen tanks ice thumbs that's awesome love know about oxygen 
1,Teacher,100,sure student could probably tell more share information together 
1,Teacher,100,student then you'll able help explore little more about what what we've read about 
1,Teacher,100,student know know about space know really help here 
1,Teacher,100,student that's awesome love know because very very helpful necessary astronaut there 
1,Teacher,100,student that's wonderful well maybe you'll able help answer question little differently think could student listening ears maybe help answer question better sound okay 
1,Teacher,100,student wonderful what experience 
1,Teacher,100,student yeah that's great that's great connection neat student nasa before love 
1,Teacher,100,well student that's exactly need here need here help help 
1,Teacher,100,awesomewell thanks much joining really need group today since know about space okay thank 
1,Teacher,100,student science expert 
1,Teacher,100,okay maybe there something don't know would like learn will grateful after student learn thing 
1,Teacher,100,student there 
1,Teacher,100,really cool maybe should tell about another student about everything there 
1,Teacher,100,student seems really awesome 
