rerid,speaker,intent,text
1,Teacher,150.1,"STUDENT, what else do you think?"
1,Teacher,150.1,"Teacher: That'd be a great strategy to use STUDENT, do you agree with STUDENT  strategy. Is that something you could use too?"
1,Teacher,150.1,So then that is why sometimes when we're looking at questions we got to be really careful because sometimes they'll try to trick you.
1,Teacher,150.1,"Right, it can be a little confusing if you don't read over it carefully. Huh."
1,Teacher,150.1," But can you look back in the reading and can you tell me what it says about that because I think if we use our brain just for a little bit and we read that reading, you're going to have all those same answers about the water too."
1,Teacher,150.1,"Okay, well, we're just going to work on making sure we have the best answer for the question."
1,Teacher,150.1,"Well, STUDENT. That's great. That's you feel like you know everything that there is to know about space, but there is always more that we can learn and maybe by listening to our friend'sfriends answer is we can learn even more."
2,Teacher,150.1,"Well, guess what we're going to learn some new things today. You might find something that you didn't know."
2,Teacher,150.1,"Yeah, well, we always have a good background knowledge of space. And that's really cool that you're interested in it, but we can always learn new names for machinery and things like that. So that's why we read this passage together in hopes that you would learn more."
2,Teacher,150.1,The small group purpose is to dig a little deeper and get a better understanding of the texts that we're reading.
2,Teacher,150.1,There are a couple other of your friends that are needing a little bit help with the guidance of where to find their answers.
1,Teacher,210.1,"Well, it's expensive to send people to the moon all of the time. So, sometimes NASA sends machines to do the exploring in space."
2,Teacher,210.1,"Part of the reason scientists are so interested in finding water on other planets is because we living things need water to survive. If we can find water on other planets, it could mean that life, like plants or animals, once lived there. It could even mean that humans have a chance of surviving there."
1,Teacher,210.2,"Yeah, that's a good point that you do need oxygen tanks whenever you're in outer space, but we're talking about the different pieces of equipment that you need to be able to see what's on the moon."
1,Teacher,210.2,Right. So the question is asking us what type of equipment that the scientists used to discover the water on the moon. So what type of equipment did they have to have in order-- if it was there to find water?
1,Teacher,210.2,"What equipment did scientists use to discover water on the moon?  That would be your question. So that question didn't ask anything about what they found, just what they used to find it."
1,Teacher,210.2,"Exactly right. So, was the question I asked you, what did they used to look at it, or what do they use to find it?"
1,Teacher,210.2,"So, we need to find the equipment that they used."
1,Teacher,210.2,Do you know what the word convincing means?
1,Teacher,210.2,"You're right. Equipment and tools, the equipment is another word for a tool. So, when we have something that's the same word for a tool, we would call it a synonym. So, they're synonyms of each other."
2,Teacher,210.2,"Alright. Is there anybody who wants to share the answer with us? What is, what does the word equipment mean?"
2,Teacher,210.2,"So, we are looking for the one that was used to discover, or to find. So, can you think of, can you see another equipment that was mentioned in the passage, apart from the microscope?"
2,Teacher,210.2,"We're trying to discover it. We're not trying to look at it, STUDENT , did you have something to tell me [ does more than repeats the student response - adds explanation]"
1,Teacher,210.2,So you have to find the water before you can look at it right. Does anyone know what discover means?
1,Teacher,210.3,"There's still something missing in your answer. Remember, that NASA can't always send astronauts to space and may need to send machines sometimes."
1,Teacher,210.3,"Well, yeah. What else could you have put in your answer instead of just saying a small machine?"
1,Teacher,210.3,"How could you have made that more in depth, answered it more in depth?"
1,Teacher,210.3,But a small machine--that could be anything. Couldn't it?
1,Teacher,210.3,"So I see that we have. Let's look at back at some of our answers. So I see that we looked at our question what equipment and scientists used to discover water on the moon. So I see we have our answers are a microscope, A small machine, and then we have some other equipment. Which answer makes the most sense as to what would be found on the moon STUDENT ?"
2,Teacher,210.3,"Oh, that would be interesting. But do they have. Do they have oxygen on the moon outside of what's in the water?"
2,Teacher,210.3,"As a, as the teacher, you know, if you want to put yourself in my position a little bit when I see response like that. It's hard for me to know what you meant."
2,Teacher,210.3,"STUDENT, did you find any evidence when you were looking to answer that different question?"
1,Teacher,210.4,"As it says in paragraph two, the machine was called a lunar orbiter. So a scientific tool called the microscope can be used to look at the water, but not for the scientists to actually discover water on the moon."
1,Teacher,210.4,This paragraph tells us that the moon is drier than a desert. That means that there's even less water on the moon than on deserts on Earth.
1,Teacher,210.4,"The text states that the deposits are microscopic, which tells us that the ice is so small you can't see it without special equipment like a microscope."
1,Teacher,210.4," So, STUDENT , can you go down to paragraph six and paragraph six. It talks about maybe the amount of time that it would take and kind of like what it would look like before we were able to get water on the moon or from the moon."
1,Teacher,210.4,Let's look back in the text and see if we can find the answer to our question.
1,Teacher,210.4,"Okay, that's what polar craters mean. Polar means the poles, the North and the South. So what is the main idea of this section? What is, for informational texts, what is the main idea? What is the target they want you to know?"
1,Teacher,210.4,So according to that. Do we think that people were actually on the moon at that time? Or did they just send that machine called the lunar Lunar Orbiter?
1,Teacher,210.4,So where did they find the water?
1,Teacher,210.4,"There you go. Okay, so STUDENT, where were they finding this water?"
1,Teacher,210.4,Why do you think a scientist would need a microscope to see the water?
1,Teacher,210.4,And we were looking at paragraph two moments ago to specifically answer that question. So what was the name of the small machine that NASA sent to investigate?
1,Teacher,210.4,That's right. What  word that starts with an lunar what?
1,Teacher,210.4,So do you think the Lunar Orbiter was able to see the ice deposits or how do you think the lunar orbiter was able to find the ice deposits?
1,Teacher,210.4,"Yes, that is what they sent. And STUDENT , what did they investigate when they got there?"
1,Teacher,210.4,"Um, so does anybody remember what the name of that machine was called?"
1,Teacher,210.4,"STUDENT, do you remember the name?"
1,Teacher,210.4,"Well, let's think about it this way, STUDENT, could you look very closely at the water molecules without the microscope?"
1,Teacher,210.4,Let's stop for a second. And what did that first paragraph tell us? Do you know?
1,Teacher,210.4,Okay. Can someone paraphrase that paragraph for me?
1,Teacher,210.4,"Let's go back to paragraph two, once more. It does say NASA sent a small machine called a lunar orbiter to investigate. What do you think the word investigate means?"
1,Teacher,210.4,"If you're going to investigate something what-- STUDENT, what do you think?"
1,Teacher,210.4,Do you think that the moon is wet? Or did the text say that the moon is very dry?
1,Teacher,210.4,Can you find the paragraph where the microscope is used?
1,Teacher,210.4,"Um, so, STUDENT, can you give me another example of equipment, maybe something from that article that we just read that you know that NASA is using in space?"
1,Teacher,210.4,"And I noticed STUDENT said that NASA sent a small machine. So STUDENT, can you look back in the text and recall what was the name of that small machine that NASA sent?"
2,Teacher,210.4,Can you find any other kinds of equipment in the text?
2,Teacher,210.4,it's like -have you all seen frost in the wintertime or in the fall? Have you seen frost on your mom's car windows or the grass? Frost is a thin layer of ice - imagine particles similar to bits of frost. So the Lunar Orbiter found tiny ice deposits in craters on the moon. 
1,Teacher,220.1,We're just talking about how we found the answers and what we can use to help us find answers when we when we have questions like this
1,Teacher,220.1,Today we're going to think through how to use the text when we're responding to questions like this one - we can't just rely on our background knowledge. 
1,Teacher,220.1,I'm going to show you guys how to find important words in the question that will direct us to the answer we need.
1,Teacher,230.1,"So, you say a small machine. What specific small machine do you think you were talking about there?"
1,Teacher,230.1,"All right, you mentioned oxygen tanks. Why did you mention oxygen tanks?"
1,Teacher,230.1,Why do you say that?
2,Teacher,230.1,Can you tell me more?
2,Teacher,230.1,And how did you gather that information?
2,Teacher,230.1,"STUDENT, you mentioned a scientist likes to use a lot of equipment. Right?"
1,Teacher,230.1,How did you know that water's heavy?
1,Teacher,230.1,"Okay, that's very interesting. So, you know, just like your answer said, and it said, water can be split into two parts hydrogen and oxygen. Is that something that your dad needs a lot of as an astronaut?"
1,Teacher,230.1,Okay so water being able to be split into two parts. Do you think that that is part of what makes it valuable to NASA and people maybe like your father?
1,Teacher,230.2,All right. Where in the text did you see that?
1,Teacher,230.2,What did you read in the text that led you to that answer?
1,Teacher,230.2,What paragraph did you look at to find your answer?
1,Teacher,230.2,"Did you find that in paragraph two, the one we just read?"
1,Teacher,230.2,"And what makes you think that way. STUDENT  based on our passage, what makes you think that the evidence is not convincing."
1,Teacher,230.3,"So, STUDENT , you're saying that the microscope discovered water on the moon? Is that right?"
1,Teacher,230.3,"STUDENT, you think that the microscope was the tool that was used to discover water on the moon, but STUDENT, you say it was the small machine. Am I understanding this correctly?"
1,Teacher,230.3,"Okay, STUDENT  and STUDENT both agree that it was the microscope. Right?"
1,Teacher,230.3,"So what I'm hearing is, there were craters full of water on the moon?"
1,Teacher,230.3,"Did you tell me that our plants need water to survive, is that correct?"
1,Teacher,230.3,"Now, STUDENT , and STUDENT you guys mentioned that during our discussion that the technology might not be ready for that yet but however there are some possibilities that we can use water."
1,Teacher,230.3,"So I noticed that, um, several of you, STUDENT , STUDENT, and STUDENT you all answered the question by saying yes or no at the beginning."
2,Teacher,230.3,It is very heavy. Going back to your first statement so transporting it would be something that we would have to do.
2,Teacher,230.3,Also you pointed out that it would take them a while to make that plan.
2,Teacher,230.3,It is very heavy. Going back to your first statement so transporting it would be something that we would have to do.
1,Teacher,310.1,"I love that you cited where you found it in the text, paragraph 2."
1,Teacher,310.1,"That's very good. I like how STUDENT was able to tell me exactly where she found her answer and STUDENT  and STUDENT that's more of what I would be looking for when you try to respond. Again, I like how she's very specific. She used the passage that we provided to find her answer. She didn't just use her background knowledge, she made sure to go back and find something in the text."
1,Teacher,310.1,You used your background knowledge about buried treasures to answer my question
1,Teacher,310.1,"Yes, I agree. And I like how you told me specific things from the paragraph to help support your answer."
1,Teacher,310.1,That's a good question. [The question is actually a good question]
2,Teacher,310.1,I see how you got to that answer. 
2,Teacher,310.1,I see what you're thinking! 
1,Teacher,410.1,"It seems that there is a misunderstanding about the question here. You are interpreting the question to mean that scientists went to the moon with equipment, but the question is only asking what equipment was used to discover water on the moon. It isn�t telling us that scientists went."
2,Teacher,410.1,"So your answer could be improved with a little bit of clarity. If we were more, a little more specific, I should say. So you say a small machine, what specific small machine do you think you were talking about there?"
2,Teacher,410.2,"But for this one, the answer wasn't quite there because we needed to focus more on that equipment than what the equipment was finding."
1,Teacher,410.2,"Well, you didn't say the type of equipment that they used to discover water, you said that they sent a small machine and they did send a small machine, but there's a certain type of equipment that they use to find the water."
1,Teacher,410.3,"True, scientists found ice deposits, but there is a piece missing. The text does not say that the ice deposits were large. It uses a specific word to describe the size of the ice deposits"
1,Teacher,420.1,"When we're answering these questions, we really read, and we really try to figure out what does this question want from me?"
2,Teacher,420.1,"Before we reread the text, I want you to tell me what the key words are in the question because these keywords are going to be the focus of your reading."
2,Teacher,420.1,Find the verb or action word in the question and underline the action word
1,Teacher,420.2,"So, by saying the name of the machine instead of saying a small machine you allow whoever reads that response to know exactly what you're talking about. So, please add in the name of the machine to your response. [Strategy and action step]"
1,Teacher,420.2,"As far as what type of equipment scientists used to discover the water on the moon, it has a specific name. So, it's always very important to read everything in the question and text before answering the question. [Thinking strategy]"
1,Teacher,420.2,"A question relates to the passage. So, when it says equipment in the question, what we want to do is to find the equipment that was mentioned in the passage. [Strategy]"
2,Teacher,420.2,So next time. How about we try. We'll start with either a strong either yes or no and then like you did just now will back it up with some evidence. Does that sound good?
2,Teacher,420.2,So the next time you're answering your question. What's something you can do when you're answering besides just saying no.
1,Teacher,420.3,"To use context clues, you look at the text around a word or phrase to understand what that word or phrase means. "
1,Teacher,420.3,"Okay, STUDENT , I would like you to look back over the passage, and I would like for you to underline where the word scientists appear and what they're using to find the water."
1,Teacher,420.3,"So, let's take a step back and see what sort of equipment we see mentioned specifically in paragraph two."
2,Teacher,420.3,"Look at paragraph two, to see if there was a special machine that they brought to investigate the water on the moon."
2,Teacher,420.3,Now let's let's go a little further back on our texts and see if we can maybe go a little deeper into how they originally discovered it. Okay. Would you like to maybe give it another go.
1,Teacher,430.1,"STUDENT , you successfully identified a type of equipment from the passage, but your answer does not match one of the key words in the question which is discover."
1,Teacher,430.1," By looking for words in the text similar to discover, such as 'investigate,' you could find a better answer that suits the whole question instead of just part of it."
1,Teacher,430.1,"I am concerned that the question is asking - What equipment -so, I would expect to hear the name of the equipment that scientists used to discover water on the moon in your response. "
2,Teacher,430.1,I would recommend rereading the text looking for the specific name of the equipment used to discover or find the water. 
2,Teacher,430.1,Can you tell me what you heard was my concern with your current response and suggestion for your next step?
1,Teacher,430.2,"STUDENT says that NASA sent a small machine. And that was right too. But that was not enough for that question. They sent a small machine, but you have to look for a better word to answer that question."
1,Teacher,430.2,"And, STUDENT, NASA sent out a small machine, but we need to be specific. I would love it if you could tell me a little bit more about what that machine is. I'm looking for the specific name and it starts with the letter L, if that's helpful. You can look back in your reading for that."
1,Teacher,430.2,"That's very good. That's very good. So right both a small machine and a lunar orbiter would be correct. But if I was only reading the answers to this specific question, I might not have the context and know that So by saying lunar orbiter instead of a small machine you allow whoever reads that response to know exactly what you're talking about."
2,Teacher,430.2,"So what you just did there where you explained it further and how you said yes it could be used for that. You just gave that to me verbally, but as far as your actual response to the question where you just told me about how it can be split into hydrogen and oxygen. Do you think that maybe next time, next time when we respond to a question like that, we can bake in some of what you just said. But we can put it on text in the response."
2,Teacher,430.3,"Scientists can use a microscope to look closely at water, but they had to use a more specific tool to look for the water first. To find what that tool was, let's go back to the text. I want you to highlight words that are equipment. Then read what it says about how scientists used that equipment."
12,Teacher,430.3,"Let's outline the sequence of events described in this text. First - what happened (student replies), Then ____. And then ______. So ___________. What was discovered on the moon? How was the water discovered? What was the name of the equipment that scientists used to discover water on the moon?"
1,Teacher,530.1,How could you sum-up three actions that you took to improve your response?
1,Teacher,530.1,What are the qualities of a high quality response to a question that is specifically asking about information that is in a text?     
1,Teacher,530.1,So how can we approach that question a little differently now that you've looked at it?
1,Teacher,530.1,About our keyword discover and you were thinking about how that was changing your thinking. Can you go back to that? 
1,Teacher,530.1,How is that keyword discover changing what you were originally thinking?
1,Teacher,530.1,And how did you find that instead of small machine it was the Lunar Orbiter. What did you do to make that change?
1,Teacher,530.1,"Okay, so who can tell me what they did to correct their answer? So how did you go about correcting your answer?"
1,Teacher,530.1,"So now that we have talked about this, how has this changed your thinking?"
1,Teacher,530.1,"How did your thinking change there, what did you do differently?"
1,Teacher,530.1,"OK, so now that I have given you guys some feedback, I want you to think about how you started out thinking.  Then, how that changed."
1,Teacher,530.1,So why did you need to add more to your answer for to describe with lunar orbiter did?
1,Teacher,530.1, So can you tell me how your answer changed from the beginning?
1,Teacher,530.1,"So what would you with our discussion today, what would you say your answer would be, and how would it change?"
1,Teacher,530.1,Do you see any ways that your mind is kind of changing? Are you thinking differently now that you're hearing from your other friends and your group?
1,Teacher,530.1,So we're gonna take a minute to turn around to your partner next to you and you're going to talk about what are your takeaway from the revision process.
1,Teacher,530.1,"So you can say something like, I started out thinking that we needed a microscope microscope was my answer for the question right now. I think it's the lunar orbiter because blank."
1,Teacher,530.1,Does anyone else want to share maybe they're thinking on what they thought that was the right answer? But now what they know is the right answer?
1,Teacher,530.1,Great. Does anyone else want to share their answers and maybe how their answers have changed?
1,Teacher,530.1,Does anyone else want to share their thinking about what they had for their first answer and how it could have changed after rereading?
1,Teacher,530.1,"Okay um so when you're thinking about your original answer and your new answer, what do you think the difference is between those answers?"
1,Teacher,530.1,"Yes, so that use the Lunar orbiter so STUDENT what on what exactly made you come to that conclusion that new answer that you have?"
1,Teacher,530.1,i'm wondering how do you feel like that compares to your first answer? what was different about those two?
1,Teacher,530.1,"Okay, so what was different about that answer versus your first response?"
1,Teacher,530.1,STUDENT. what about you? how did your answer change when you were able to revise it?
1,Teacher,530.1,mm hmm so let's just think about as a team. like What did we do together? what do we do together to figure out what the name of that tool was called? STUDENT.
1,Teacher,530.1,"So, as we proceed with this discussion, I would want you to observe how you're thinking changes as we move along the discussion is okay."
1,Teacher,530.1,OK so STUDENT do you want to share your new thinking? What has changed in your thinking?
1,Teacher,530.1,Great so STUDENT now that you're participating already. Would you mind telling me what you're thinking was when you went back to try to revise your response?
1,Teacher,530.1,Is there anything else? Did anyone do anything different when they were revising their answer?
1,Teacher,530.1,"First you're going to answer ""I started out thinking blank"" then you're going to answer, ""and now I think blank because blank"". Go ahead and take 30 seconds to answer those questions."
1,Teacher,530.1,What made you change your thinking on that?
1,Teacher,530.1,"And then, after you're finished i'm curious if you could share, about how you're thinking has changed from your original answer to the second answer that you that you wrote?"
1,Teacher,530.1,So how can I ask you a question? How did you get from your first answer to your second answer? How did your thinking change?
2,Teacher,530.1,What was what was different and how other than just writing more? 
2,Teacher,530.1,What do you think your thought process was in shifting your answer?
2,Teacher,530.1,"Thank you. Okay, so STUDENT do you feel like you've changed your your process for working through text and questions?"
2,Teacher,530.1,"Before our conversation I thought that the answer was This or I didn't know the answer, or I was still confused, or just before our conversation, this is what I thought, and then, after the conversation that we just had now, I think. "
2,Teacher,530.1,"Whatever you think it's okay, if your response hasn't changed. It's okay if it has changed. I'm just curious what you all are thinking. So take a moment, before our conversation I thought this and after our conversation I thought this."
1,Teacher,520.1,Do you feel like you could try this strategy next time you encounter a tricky question like this?
1,Teacher,520.1,"Next time you have a similar question, what would you do first?"
1,Teacher,520.1,If you are not sure what the question is asking or if you want to check your understanding of the question - then what can you do?
1,Teacher,520.1,To make sure that you understand a text - what can you do?
1,Teacher,520.1,"So, next time you have to answer a question that requires information from the text, please remember to make sure you understand the question first before you start trying to find an answer."
1,Teacher,520.1,"Thank you. Okay, so STUDENT do you feel like you've changed your your process for working through text and questions?"
1,Teacher,520.1,"Whatever you think it's okay, if your response hasn't changed. It's okay if it has changed. I'm just curious what you all are thinking. So take a moment, before our conversation I thought this and after our conversation I thought this."
1,Teacher,520.1,I think what we all need to take away is that when we're answering reading comprehension questions we really need to focus on going back and reading the article in detail and maybe highlighting the text or annotating the text so that we can really understand in detail what we're learning  and why we're learning it.
1,Teacher,520.1,"Okay, so from reading the text today and using our tools by going back and rereading the text and circling important information, how can this broaden your understanding in the future of any topic that we discuss whether it's space or farming?"
1,Teacher,520.1,How can you use your knowledge of restating the question in our next lesson? 
1,Teacher,520.1,"So when we're answering questions like this again, what's something that we need to make sure we do when we're answering the question?"
1,Teacher,520.1,"So next time you have a question, you can underline your keywords to help you be more specific."
1,Teacher,520.1,"So now that you've figured out the full answer, what will you do next time when you're looking back in the text?"
1,Teacher,520.1,"Alright so next time, go back and look in the story to find your answer."
1,Teacher,520.1,"So next time you are answering a question like this, how do you think you can make your answer better?"
1,Teacher,520.1,"And how you will apply what you learned in your next task? So I'm gonna give you guys a couple minutes to think about it, and then we will go around in the circle answering."
1,Teacher,520.1,"So we can start with STUDENT and just to repeat, I want you to state how you started out thinking, how the strategy you used changed based on the feedback I gave, and what you will do next time to make sure you are fully answering the question."
1,Teacher,520.1,"We're just going to go around. STUDENT, what do you think first? You're going to say what strategy you used, and how you will build on to it for your next assignment or task."
1,Teacher,520.1,"And last but not least, STUDENT. What about you? What do you think? What strategy did you use and how will you take that to either build on or change it in the future?"
1,Teacher,520.1,"Right so next time you get a question on a text, are you going to use your background knowledge and not read the text at all or are you going to read the text and then use your background knowledge?"
1,Teacher,520.1,"Right, so what are a few things we can do next time when you're not quite sure if your answers are all the way there yet?"
1,Teacher,520.1,"Right, so you went back and read. So what do you want to do next time a teacher asks you for a little bit more information?"
1,Teacher,520.1,I'm wondering what you'll do next time you get a question like this to arrive at an answer like this? What's something that you can do next time when you get a question like this?
1,Teacher,520.1,And I'm hearing that you have an idea of how you can repeat this answer in the future. I think it might be great if you write down this process in a notebook.
1,Teacher,520.1,"That's right. That's excellent. So now when we go forward and we're answering comprehension questions, you can use STUDENT's amazing example where we restate the question and we're sure to use all of the evidence from the text."
1,Teacher,520.1,"Okay, so next time that you see a question like this that's asking about a text, what are you going to do?"
1,Teacher,520.1,"Next time you see this kind of question, please be as specific as you can to answer the question, okay?"
1,Teacher,520.1,"So every single time that we're using information from a text in order to answer a discussion question, we want to make sure that we're referencing back to the text, even though we might know a lot about the subject reading already."
1,Teacher,520.1,"Or even thinking beyond today, what are some tools that we can use for future texts like these?"
1,Teacher,520.1,"Yes, so when we're thinking about answering questions like these later in the future, I think that what you said about details is very important."
1,Teacher,520.1,So what do you think you would do next time you get a question like this?
1,Teacher,520.1,What do you think will stick with you for the next time you're answering a similar question?
1,Teacher,520.1,"How, what did you learn right? What did you take away from this process of making inferences and making connections? What did you learn about that you might be able to apply the next time you encounter a question like this?"
1,Teacher,520.1,"So next time you see a question asking about a text, what will you do?"
1,Teacher,520.1,"so I suggest that the next time you have a question like this, you read through the text and look for those key specific words that might help you have a more rounded out answer."
