intent,actor,turn,text
150.1,Chris,, So I know that scientists use a lot of equipment like oxygen tanks and masks and suits
150.1,Chris,,"Yeah, I can"
150.1,Chris,, The phone craters are full of water on the moon
150.1,Chris,,"Well, it was about how they found water"
150.1,Chris,,I think we're ready
150.1,Chris,,"Okay, yeah"
150.1,Chris,, So I know that scientists do use a lot of equipment like on oxygen tanks and masks and suits
150.1,Chris,,"Yeah, so actually I went to NASA"
150.1,Chris,,"Yeah, so I guess I was picturing like all this water but really it was just like, like a little, little ice deposits"
150.1,Chris,,"He looked at Luis's answer, and he was talking about the oxygen tanks and stuff, but it sounds like that's not really the right answer"
150.1,Chris,,"Okay, okay"
150.1,Chris,,"Okay, so in the second paragraph, I saw that on them the equipment that Jazmin just said, the Lunar orbiter"
150.1,Chris,,"I think, so let me look back at"
150.1,Chris,,Here this is Chris
150.1,Chris,," I thought it was really cool that scientists, they found craters full of water on the moon"
150.1,Chris,,edu: yeah yeah I guess
150.1,Chris,,harvard
150.1,Chris,,teachtoreacheveryreader@gse
150.1,Chris,,yeah yeah That would be good
150.1,Chris,,"Okay i've said that scientists found craters, full of water on the moon"
150.1,Chris,,Ah um yeah I can see that
150.1,Chris,,Agile Teacher Lab: Oh yeah well I sort of like Farrah it really blew my mind that there was all this water on the moon like these craters full of water oh it's so cool to picture and I really want to go and see it one day
150.1,Chris,,yeah I I thought it was so amazing how how the scientists they found craters full of water on the moon
150.1,Chris,,"I can, I can I"
150.1,Chris,,yeah yeah yeah that's sounds exciting oh yeah i'll add that right now
150.1,Chris,,So can I add something too about equipment?
150.1,Chris,,"it's not that question, but I was just thinking about some of the other equipment on the moon, and so I went to NASA so I know that scientists use a lot of equipment like oxygen tanks and masks and suits"
150.1,Chris,,yeah yeah yeah to kind of think more
150.1,Chris,,Okay okay
150.1,Chris,,"Well, craters craters are really big"
150.1,Chris,,yeah
150.1,Chris,, yeah so basically
140.1,Chris,, It was the coolest ever
140.1,Chris,,"Yeah, oh yeah, me and my dad we when we saw like all of these different space shuttles and all of these like different astronauts suits"
140.1,Chris,,"Yes, yes"
140.1,Chris,," My dad, me and my dad went to NASA, so I know that scientists use a lot of equipment, like oxygen tanks and masks and suits to--"
140.1,Chris,, The atmosphere on the space shuttle and on the moon isn't the same as the atmosphere here
140.1,Chris,,Because they can't breathe
140.1,Chris,," Yes, we've got lots of phones"
140.1,Chris,,"Oh wow, yes"
140.1,Chris,,"Oh, man"
140.1,Chris,," No, no"
140.1,Chris,," When me and my dad went to NASA, we saw about that the whole controversy about when Pluto was a planet, and then it wasn't a planet, and then it was a planet, but I didn't know anything about Saturn"
140.1,Chris,,"Okay, okay, I think"
140.1,Chris,,RER: You're a really good teacher
140.1,Chris,, Kennedy center
140.1,Chris,,The John F
140.1,Chris,," We got to see a lot of space shuttles, and astronaut, space chutes, and all of the different ways that they can breathe upon in space"
140.1,Chris,,It was a lot of fun
140.1,Chris,, Well that's a good question
140.1,Chris,, Oh
140.1,Chris,," But I was gonna say first, just real quick because I went to NASA"
140.1,Chris,,Oh
140.1,Chris,,"Um, so, I saw a microscope, like in science class"
140.1,Chris,," Um like, I've seen it in a couple places, but I think we've all seen it in science class"
140.1,Chris,," And also we've like, you know, we've seen it in movies and stuff like that"
140.1,Chris,,"Yeah, it's really cool there"
140.1,Chris,, I had a great time with my dad
140.1,Chris,,I'm not really like that wasn't really what was in the exhibit that was that was from like reading
140.1,Chris,, I didn't know that before today
140.1,Chris,,"Oh, some some article in a magazine"
140.1,Chris,,We wouldn't run out of gas
140.1,Chris,,"Oh yeah, So they use on a breathe because, while the oxygen tanks are to breathe because there isn't any oxygen up there in space and then the suits because it's so cool that if if the air touch their skins, they would they would freeze to death and then shattered pieces"
140.1,Chris,,"me and my dad had been reading this book about aviation and then we went to NASA so there was this whole exhibit about the traveling to the moon, and then what their plans are in the future"
140.1,Chris,,I do know that I went to NASA so I know that scientists use a lot of equipment like oxygen tanks and masks and suits
140.1,Chris,, So I saw that they use like these are core to keep them like attached to the ship
140.1,Chris,,"Oh yeah, absolutely"
140.1,Chris,," If they had to do, like, you know what I mean, like a spot"
140.1,Chris,,"Yeah, with my dad"
140.1,Chris,, I went to NASA
140.1,Chris,, So I do know that scientists use a lot of equipment like
140.1,Chris,,So they're full of water at the bottom?
140.1,Chris,,yeah yeah
140.1,Chris,, Yeah
140.1,Chris,,That would be pretty cool
140.1,Chris,,"Oh well, I actually went to NASA and well I didn't know there was water on the moon, but I thought it was really cool"
140.1,Chris,,yeah yeah
140.1,Chris,,"yeah Oh, it was so cool I would love to put on that space suit and grab my microscope and look at the little pieces of water on the moon"
140.1,Chris,,"yeah well, I have a question sort of about the story so were there actually any astronauts on the moon looking for the water?"
140.1,Chris,,"it's amazing, you can see, all of these different space shuttles that have gone to into space for like the past 30 and 40 years"
140.1,Chris,,"Oh, well I thought it was just amazing how the scientists found craters full of water on the moon"
140.1,Chris,,Well
140.1,Chris,,"Well, or if there's water on the moon"
140.1,Chris,,yeah yes three years away
140.1,Chris,,We got to see a lot of things like we got to see the whole space suit and I really wanted to try it on but
140.1,Chris,,It looks pretty disgusting really
140.1,Chris,,"Oh yeah my dad took so many pictures, it was actually kind of embarrassing"
140.1,Chris,,I think they said the really dark
140.1,Chris,,it's so cool
130.3,Chris,, So I know that the scientists use a lot of equipment like oxygen tanks and masks and suits too
130.3,Chris,,I went to NASA
130.3,Chris,,"Okay, gotcha"
130.3,Chris,,So how did they find the water
130.3,Chris,," Luis Like, that's the thing to remember, like they didn't do that"
130.3,Chris,,Okay
130.3,Chris,," Is that right,"
130.3,Chris,, Yeah
130.3,Chris,," Okay, so they weren't actually there"
130.3,Chris,, So they didn't need to use masks and suits and stuff like that
130.3,Chris,, Teacher?
130.3,Chris,,Mr
130.3,Chris,,Okay
130.3,Chris,,Okay
130.3,Chris,, Yeah
130.3,Chris,,Yeah
130.3,Chris,,Gotcha
130.3,Chris,," Okay, so, so was like, like they may be need that stuff, but they didn't like use it necessarily this time"
130.3,Chris,,harvard
130.3,Chris,,edu: I don't think the astronauts are bringing stuffed animals they're like grown ups and scientists and stuff
130.3,Chris,,teachtoreacheveryreader@gse
130.3,Chris,,And I went to NASA so I know that scientists use a lot of equipment like
130.3,Chris,, So they didn't need that stuff
130.3,Chris,,"Oh, I was just wondering because I've been to NASA with my dad, and we saw that scientists use like oxygen tanks and masks and stuff"
130.3,Chris,, So I also know that scientists use a lot of equipment like oxygen tanks and masks and suits too
130.3,Chris,,I just wanted to say that I went to NASA
130.3,Chris,,"Yeah, OK"
130.3,Chris,,"Right yeah because you said, well, that the craters you said they're not full of water, like, I thought right because the water is so small"
130.3,Chris,,okay
130.3,Chris,,Well they need them to breathe on the moon
130.3,Chris,,Oh
130.3,Chris,,yeah that wasn't the story
130.3,Chris,,Oh
130.2,Chris,," Um, but then I remembered that you told Farrah that finding isn't the same thing as discovering so now I'm not really sure, you know"
130.2,Chris,,"Okay, so I saw in the first paragraph, where they're talking about the water and the water was found deep within the moon's polar craters"
130.2,Chris,,I picked out equipment and discover too
130.2,Chris,,"Yeah, for, for me, that's why I was I was confused because I was looking for water in the story"
130.2,Chris,," And so I didn't see the pardon about paragraph two, about the ice cuz I was looking for the word water"
130.2,Chris,, I think that Oliver's guess is pretty good
130.2,Chris,,"Um, so I guess like I kind of know a lot about NASA and I know that scientists use lots of equipment like oxygen tanks and like you know like masks and suits and stuff so I don't know"
130.2,Chris,," Like you could look and say, like the microscopes on like like what if you attached it to the hand of the spacesuit?"
130.2,Chris,,Okay
130.2,Chris,, And I know that scientists have to use like equipment like oxygen tanks and masks and suits to go into space
130.2,Chris,,"Um, yeah, I think it could be, um, I just feel like also like for me"
130.2,Chris,," Like, I went to NASA"
130.2,Chris,,"Okay, it's me, Chris, I talked about the water to I said I'm water is heavy"
130.2,Chris,, So it's good
130.2,Chris,, They don't have to carry it in the ships anymore
130.2,Chris,, What was I gonna say
130.2,Chris,," I was gonna say that, well, I guess what I found was that water can be broken down into two parts"
130.2,Chris,, So hydrogen and oxygen
130.2,Chris,,"Um, yeah, I guess I was thinking like, Well, let's see"
130.2,Chris,," So I guess I was going to say that, like, yeah, that's stuff that also is useful"
130.2,Chris,,"Oh, I'm kind of had a different idea"
130.2,Chris,, So I know that the scientists use a lot of equipment like masks and oxygen tanks and suits
130.2,Chris,," I was just thinking like you, I went to NASA"
130.2,Chris,,Yeah okay so small machine um
130.2,Chris,,"Yeah, so I could do that"
130.2,Chris,, But I like first
130.2,Chris,," I just wanted to ask, like, um,"
130.2,Chris,,"I wasn't in my answer, but I went to NASA"
130.2,Chris,, And I know that scientists use a lot of equipment like oxygen tanks and masks
130.2,Chris,,Um yeah I I thought water was the important word
130.2,Chris,,"The machine, the microscope?"
130.2,Chris,, And when we went to NASA
130.2,Chris,, I basically like my dad took me to NASA
130.2,Chris,," We went and saw like all of this, like, um like all of these like space suits and like oxygen tanks and all that stuff that like Luis was talking about"
130.2,Chris,,"Okay, so I'm like, here's the thing"
130.2,Chris,,"I wasn't really answering the question, so I ok so my answer now would be like that scientists are found craters full of water on the moon by using the lunar orbiter"
130.2,Chris,,"Okay, so, so I was talking about the meeting debrief and you said that to Luis And you're talking about them needing to drink on"
130.2,Chris,,"Yes, had to be from the craters, the craters for the water"
130.2,Chris,,"yeah, I guess, so I I think like I read that there could be a base on the moon by maybe 20 or that made me think that you know, like I don't know like It made me think that this is something that could make that possible"
130.2,Chris,,"In that paragraph two, it says, NASA sent a small machine called a lunar orbiter"
130.2,Chris,,I'm not sure
130.2,Chris,,"On not not about this, no, I was gonna say that I was gonna say I asked my new answer is ok"
130.2,Chris,, But you said craters wasn't equipment
130.2,Chris,, I know that they said there's a lot of water deep in the moon's craters
130.2,Chris,, So I would think a lot of water
130.2,Chris,,I answered craters full of water
130.2,Chris,,"Yeah, so I went to NASA"
130.2,Chris,," And I saw that the scientists, they use a lot of equipment like oxygen tanks and masks and suits and all sorts of stuff like that"
130.2,Chris,, So I know that scientists use a lot of equipment like oxygen tanks and masks and suits
130.2,Chris,,"Well, I went to NASA"
130.2,Chris,, Maybe both
130.2,Chris,,"Well, maybe"
130.2,Chris,,"I think, oh,"
130.2,Chris,, And so I know that scientists use a lot of equipment like oxygen tanks and masks and suits
130.2,Chris,,"Yeah, I would have to say, I went to NASA"
130.2,Chris,,"Oh,"
130.2,Chris,,Yeah
130.2,Chris,,"Well, actually, I thought that it was water"
130.2,Chris,, What equipment to find water on the moon
130.2,Chris,,they didn't?
130.2,Chris,,"Well, I know I didn't have equipment in my answer, so I had to add that, um but for Farrah's answer I guess she is saying the equipments"
130.2,Chris,,Okay um I think I didn't even think about that second paragraph because of I was looking for water
130.2,Chris,,Oh yeah well so i'm in terms of equipment actually I went to NASA so I know that scientists they use all lot of equipment like oxygen tanks and masks and suits
130.2,Chris,,"Okay, can I try"
130.2,Chris,,"Agile Teacher Lab: um well i'm not sure I think my first answer is right, but um I know it doesn't say equipment, but I don't really know what the equipment is I just listened to Jazmin"
130.2,Chris,,"Oh well, the craters they're dark"
130.2,Chris,,Oh yeah oh those words mean pretty much the same thing
130.2,Chris,,Oh sure yeah I could do that
130.2,Chris,,uh huh
130.2,Chris,,"Oh, oh circle evidence in the text"
130.2,Chris,,yeah I do
130.2,Chris,,"Well, I was just going to add since we're talking about all the equipment that I went to NASA so I know that scientists use a lot of equipment like oxygen tanks and masks and suits"
130.2,Chris,,wow hmm maybe they need something to collect the water
130.2,Chris,,Oh well
130.2,Chris,,edu: I think so um let me see
130.2,Chris,,harvard
130.2,Chris,,teachtoreacheveryreader@gse
130.2,Chris,,"Well, so for my answer, I said that scientists found craters full of water on the moon, but it doesn't new equipment and my answer, but that's how I answered the question"
130.2,Chris,,My answer was
130.1,Chris,, So I know that scientists use a lot of equipment like oxygen tanks and masks and suits
130.1,Chris,,"You know, I went to NASA"
130.1,Chris,," Um, so yeah, it makes sense that they would need other equipment too"
130.1,Chris,," Well, no, I looked at the craters and they said how the craters had water"
130.1,Chris,,So basically what I looked at what's up
130.1,Chris,," Well, actually, I guess I didn't really circle"
130.1,Chris,,OK
130.1,Chris,,"Okay, that makes sense"
130.1,Chris,,"Okay, okay, um,"
130.1,Chris,, So I know that scientists use a lot of equipment like oxygen tanks and masks shoots
130.1,Chris,,I don't know
130.1,Chris,," You know, I went to NASA"
130.1,Chris,,"Well, they're they're yeah they're designed so you can you can breathe in space"
130.1,Chris,,um I
130.1,Chris,,"Okay, yeah, yeah"
130.1,Chris,,harvard
130.1,Chris,,teachtoreacheveryreader@gse
130.1,Chris,,edu: will be super microscope and Jazmin set the Lunar orbiter
130.1,Chris,,Ok ok so
130.1,Chris,,"Yeah, yeah, I remember reading, paragraph three, but I didn't think that um that that was it"
130.1,Chris,," Because, because they said that they were talking about finding the water and I had seen that there was like a lot of water in the craters"
130.1,Chris,,"Oh well, I just wanted to say, I went to NASA and so I know that scientists they use a lot of equipment like oxygen tanks and masks and suits"
130.1,Chris,,yeah well sort of about that I went to NASA so I know that scientists date to really use a lot of equipment like oxygen tanks and masks and suits
120.4,Chris,,"Oh man oh I just looked at the clock and we have to go to lunch. But I wanted to say thank you so much for coming in and bringing so much energy and helping us learn in such a fun way I didn't know that this was going to be so fun looking at this article, and I just wanted to say thank you for listening and explaining but also making it fun"
120.4,Chris,,"Okay, well, I said that scientists found craters full of water on the moon"
120.4,Chris,,Um yeah i guess i well i went to NASA
120.4,Chris,, So I know that scientists use a lot of equipment like
120.4,Chris,, So I said that pre scientists found craters full of water on the moon
120.4,Chris,,"Yeah, okay"
120.4,Chris,,Yes that was me
120.4,Chris,,"Yeah, well, I know that all that"
120.4,Chris,, And so I know that our scientists use a lot of equipment like oxygen tanks and masks and suits
120.4,Chris,, And I know that
120.4,Chris,," Well, I went to NASA with my dad"
120.4,Chris,,"Oh, I did as well"
120.4,Chris,,"Okay, so what I circled up"
120.4,Chris,," All right, what I was looking at was, I was thinking like that water can be broken down into two parts, and that was where was that, oh yeah, in paragraph by water can be broken down two parts hydrogen and oxygen"
120.4,Chris,,On y'all because I was just thinking that because I went to NASA
120.4,Chris,," And I just know that scientists use like lots of equipment like oxygen tanks and masks and shoots, and that wasn't in the reading"
120.4,Chris,,"Well, I think it was informative because I realized that there was all this water in all these craters on the moon like it sounds like there's overflowing water"
120.4,Chris,, So I was wondering if they use that for this too
120.4,Chris,, So one thing that I noticed is I been to NASA with my dad and I love space and I noticed that the astronauts use like oxygen tanks and masks and stuff like that
120.4,Chris,, You know what I mean
120.4,Chris,,"Well, okay"
120.4,Chris,,"Well, I know that scientists use a lot of equipment like oxygen tanks and masks and suits"
120.4,Chris,,"Okay, I also kind of like Luis I definitely feel like I knocked it out the park this time because"
120.4,Chris,," OK, so here we go"
120.4,Chris,,OK
120.4,Chris,, So it's good
120.4,Chris,, They don't have to
120.4,Chris,," Um, water is heavy"
120.4,Chris,," And so I i know that scientists use a lot of like oxygen tanks and masks and suit, and I guess I'm wondering, like why that wasn't right"
120.4,Chris,,I guess like I went to NASA
120.4,Chris,,I'm yeah i mean
120.4,Chris,,So I said that you could wait
120.4,Chris,," Okay, um, water can be broken down into two parts hydrogen and oxygen, which is a big deal"
120.4,Chris,,The Lunar Orbiter?
120.4,Chris,,"Well, okay, so I tried to focus on the equipment"
120.4,Chris,," But I know that they use, you know,"
120.4,Chris,,"Well yeah, I was gonna say, I went to NASA with my dad and I know that scientists lot of equipment like oxygen tanks masks and that's not in the reading"
120.4,Chris,,"Yeah, okay"
120.4,Chris,, And it says that
120.4,Chris,, So one thing is that water can be broken down into two parts into hydrogen and oxygen
120.4,Chris,,"Excuse me, Mr"
120.4,Chris,, I just thought about something from the story
120.4,Chris,, Teacher
120.4,Chris,,Water can be broken down into two parts hydrogen and oxygen
120.4,Chris,,"Well, so here's the thing, like I kind of thought that, like, um, well I've been to NASA with my dad and like we really"
120.4,Chris,, So I think like discover is like how you you find something or you kind of like um like you
120.4,Chris,,"Yeah, okay"
120.4,Chris,, You like find something
120.4,Chris,,Okay
120.4,Chris,," So I was just wondering, like, okay, so I went to NASA with my dad and we went and looked at, like all the spacesuits"
120.4,Chris,, And like all this stuff
120.4,Chris,, So I know that like scientists use up like equipment like masks and suits like stuff like even said so
120.4,Chris,,"Okay, I have been to NASA with my dad"
120.4,Chris,, I think the most important word is water
120.4,Chris,,"Yeah okay, I'm Chris"
120.4,Chris,,"Yeah, so I was just say, um, let's see, I think it was talking about like the before lunch"
120.4,Chris,," Well, so my answer was that the craters were full of water on the moon, and that that was like you know what I mean, like, they found all this water"
120.4,Chris,, I was talking about like craters
120.4,Chris,,"Um, yeah"
120.4,Chris,, They don't have to carry it in the ships
120.4,Chris,," So I would say, water is heavy"
120.4,Chris,, So it's good
120.4,Chris,,yeah I was just I went to NASA so I know that scientists use a lot of equipment like oxygen tanks and masks
120.4,Chris,," So I said, or something different"
120.4,Chris,, I said umm
120.4,Chris,,Uh huh
120.4,Chris,, Okay
120.4,Chris,,"Okay, so I said that they found a lot of water in the craters"
120.4,Chris,,yeah I said that scientists found crators full of water on the moon
120.4,Chris,,"So I would change my answer what I would say, as I would say, like um, so I said initially scientists craters on the water"
120.4,Chris,,"um I think for me like what I noticed is like kind of similar to like I I bring a lot of my like background knowledge, because I know all about this stuff"
120.4,Chris,,Valuable means like has a lot of value?
120.4,Chris,,Here that on the phone craters full of water on the moon
120.4,Chris,,I went to NASA
120.4,Chris,,harvard
120.4,Chris,,edu: I went to NASA so
120.4,Chris,,teachtoreacheveryreader@gse
120.4,Chris,,Well yeah I had a completely different answer than them
120.4,Chris,, I said let me look at what I wrote down
120.4,Chris,,yeah
120.4,Chris,," I mean, it's about science, though"
120.4,Chris,," But I went to NASA, so I know that scientists use a lot of equipment like oxygen tanks and masks and suits"
120.4,Chris,, It's not about the story
120.4,Chris,,Yeah
120.4,Chris,,"Yeah, sure, I said that the scientists found craters full of water on the moon"
120.4,Chris,,"Oh, that's a really, that's an interesting question"
120.4,Chris,," Um,"
120.4,Chris,," And so, I noticed that scientists use a lot of equipment like oxygen tanks and masks, but it sounds like you're telling us that the lunar orbiter went without any astronaut"
120.4,Chris,,"Um, well, I was gonna say that"
120.4,Chris,, So like with my dad
120.4,Chris,, I went to NASA
120.4,Chris,, Is that right
120.4,Chris,,teachtoreacheveryreader@gse
120.4,Chris,,edu: I wrote scientist on craters full of water on the moon
120.4,Chris,,harvard
120.4,Chris,,"Okay, so what I said was initially that scientists found craters full of water on the moon, and then I realized that"
120.4,Chris,, So I said that scientists found craters that were just full of water
120.4,Chris,,"Um, yeah"
120.4,Chris,,Um
120.4,Chris,, Equipment?
120.4,Chris,,  That one was in my answer
120.4,Chris,,In the craters
120.4,Chris,,"Okay, well, I okay So what about mine, because I said scientists found craters full of water on the moon, with the Lunar orbiter"
120.4,Chris,,It was something about how it was talking about water can be broken down into two parts
120.4,Chris,,"Well, I think the main point of part one is that it tells us that scientists actually found craters full of water on the moon"
120.4,Chris,,"Yeah, okay"
120.4,Chris,," So I said, water is heavy"
120.4,Chris,, So it's good that they don't have to carry it on the ships anymore
120.4,Chris,,"Okay yeah Well, my answer is scientists found careers, full of water on the moon"
120.4,Chris,, There wasn't any but now they know because they found it
120.4,Chris,,"Okay, so I think the main idea is that they have found water on the moon, and they used to think"
120.4,Chris,," So I said, water because my answer was, scientists found craters full of water on the moon, and the whole story is about water"
120.4,Chris,,On
120.4,Chris,,"Okay, yeah"
120.4,Chris,," So my answer to the question was, scientists found craters full of water on the moon"
120.4,Chris,,"Well, I said that the key word was water because my answer was about the craters full of water on the moon"
120.4,Chris,, I guess because there's the small machine on the
120.4,Chris,," So, well, we found the same to that Oliver and Farrah"
120.4,Chris,,"Oh, yeah, yeah"
120.4,Chris,, Okay
120.4,Chris,, Definitely
120.4,Chris,,RER: Can I go?
120.4,Chris,," Okay, so my new answer is the water, the scientists found on the moon was microscopic"
120.4,Chris,,"Oh, okay"
120.4,Chris,," Well, I want to know if my new answers"
120.4,Chris,,"Yeah, I went to NASA"
120.4,Chris,, So I know that scientists use a lot of equipment like oxygen tanks and masks and suits
120.4,Chris,,Can I go
120.4,Chris,, Can I go
120.4,Chris,,Or you went to NASA
120.4,Chris,, So I know that scientists use a lot of equipment like oxygen tanks and masks and suits and stuff
120.4,Chris,,Sure
120.4,Chris,,"Okay, so"
120.4,Chris,,"Oh no, but we were just talking about the equipment"
120.4,Chris,," And I thought, probably, they would have to use those things too"
120.4,Chris,, Don't you think
120.4,Chris,, And so that made me think of that
120.4,Chris,,"So I heard, I read on Facebook by uncle posts a lot of stuff"
120.4,Chris,,Water can be broken down into two parts hydrogen and oxygen
120.4,Chris,, So I went to NASA
120.4,Chris,, And I know that scientists use all sorts of equipment like oxygen tanks and masks
120.4,Chris,,"Oh, yeah"
120.4,Chris,,"Well, so well, my first answer was scientists found craters full of water on the moon"
120.4,Chris,,yeah well actually I went to NASA so I know that scientists they use a lot of equipment like oxygen tanks and masks and suits
120.4,Chris,,"yeah absolutely so, unfortunately, we have to go to lunch, but before we go to lunch, I just wanted to thank you and I in particular, I really wanted to thank you for working with us"
120.4,Chris,,yeah I said i'm scientists found craters full of water on the moon
120.4,Chris,,"Okay, so my answer is um scientists found craters full of water on the moon"
120.4,Chris,,um I said scientists found craters full of water on the moon
120.4,Chris,,"Um, I found mine in paragraph one"
120.4,Chris,,um you know I went to NASA so I know that scientists use of lot of equipment like oxygen tanks and masks and suits
120.4,Chris,,yeah she
120.4,Chris,,"Agile Teacher Lab: Okay, so um well I circled equipment, because well, so I went to NASA so I know that scientists use all lot of equipment like oxygen tanks and masks and suits so I picked equipment"
120.4,Chris,,"I was, I actually found my information in the first paragraph, because that's where they were talking more about the water on the moon"
120.4,Chris,,"Oh, I said that they found craters full of water on the moon"
120.4,Chris,,"um I said scientists use a lot of equipment like oxygen tanks, you know I went to NASA so I know scientists use a lot of equipment like oxygen tanks and masks and suits"
120.4,Chris,,"Well, I wanted to add on it's really about the Lunar orbiter but it's that on I went to NASA actually so I know that the scientists they use a lot of equipment like oxygen tanks and masks and suits"
120.4,Chris,,"Agile Teacher Lab: mm hmm so my answer is scientists found craters full of water on the moon, but when I talked to Jazmin and Luis they were both talking about equipment so on i'm not really sure what the right equipment is"
120.4,Chris,,I can go first
120.4,Chris,,Oh
120.4,Chris,,um that they found craters for water on the moon
120.4,Chris,,I went to NASA and I know that scientists they use all lot of equipment like oxygen tanks and masks and suits
120.4,Chris,,Well i'm i'm thinking that so actually I went to NASA so I know that scientists they they use a lot of equipment like oxygen tanks and masks and suits
120.4,Chris,,"Well, so um so in there, it talks about that lunar orbiter but I went to NASA so I know that scientists use a lot of equipment like oxygen tanks and masks and suits"
120.4,Chris,,And you know okay so up I said scientists found critters full of water on the moon
120.4,Chris,,"And I think the answer is all, let me see what"
120.4,Chris,,yeah so
120.4,Chris,,"yeah, so I think is when something sort of goes around something else"
120.4,Chris,,Oh
120.4,Chris,,I said waters heavy so it's good they don't have to carry the ships anymore
120.4,Chris,,yeah definitely um yeah because then they wouldn't have to carry it all the way up there in the space shuttle they could just get it on the moon
120.4,Chris,,"yeah okay so uhm Jazmin pointed out that it says, actually, that the ice deposits are really small so, even though I was picturing like these big lakes and pools of water, it sounds like it's not really like that"
120.4,Chris,,"Okay, well, I went to NASA so I know that scientists they use a lot of equipment like oxygen tanks and masks and suits"
120.4,Chris,,"yeah well just listening to what you said to Luis I see how all the cool stuff at NASA it helps the scientists, but it does it do the finding of the water"
120.4,Chris,,"Okay, so well I looked through the word machine"
120.4,Chris,,"Okay, well, I said um scientists found craters for water on the moon, with the Lunar orbiter"
120.4,Chris,,"Yes, I can"
